First Name,Last Name,Phone Number,Age,Experience,Email,Role,Skillset1,Skillset2,Skillset3
Sunita,Reena,6520531106,34,0,sunitareena@gmail.com,HR,Communication skills,Controls and frameworks ,JavaScript
Pramod,Pradeep,6979546496,31,8,pramodpradeep@gmail.com,Data scientist,python,Flask,pipeline planning
Pramod,Anjana,8746598372,25,2,pramodanjana@gmail.com,Frontend developer,HTML/CSS,Operating systems, HR Management knowledge and expertise
Ankita,Ralph,6608529247,31,0,ankitaralph@gmail.com,Cyber security,Scripting,Flask,Data mining
Bob,Vivek,6256954682,33,0,bobvivek@gmail.com,Blockchain engineer,Cryptography, Administrative expertise,Intrusion detection
Rakesh,Ramesh,6334860702,29,6,rakeshramesh@gmail.com,DevOps engineer,Linux , Administrative expertise,CI/CD pipelines
Shruti,Amit,6851342591,25,2,shrutiamit@gmail.com,Data scientist,Python,Data Analysis and Visualization,C/JavaScript/Python
Arjun,Priyanka,6744460789,34,10,arjunpriyanka@gmail.com,Cyber security,Scripting,Big Data,CI/CD pipelines
Kayla,Sonam,8451524900,35,0,kaylasonam@gmail.com,AI/ML architect,Machine Learning Expertise,Big Data,pipeline planning
Sumit,Vivek,6763274291,29,6,sumitvivek@gmail.com,IoT solutions architect,API automation and testing ,Node.js,pipeline planning
Sanjana,Parul,8570389665,34,0,sanjanaparul@gmail.com,Machine learning engineer,Mathematics and Statistics,Networking and data centres,Algorithms and frameworks
Mukesh,Shivangi,8439902209,26,0,mukeshshivangi@gmail.com,Data scientist,python, Administrative expertise,DBMS
Satish,Divya,8363908592,23,0,satishdivya@gmail.com,Cyber security,Scripting,Operating systems,Algorithms and frameworks
Renu,Vivek,9827448836,27,4,renuvivek@gmail.com,Cyber security,Scripting,Big Data,Algorithms and frameworks
Rakesh,Rinku,9130210848,35,10,rakeshrinku@gmail.com,Blockchain engineer,Cryptography,Operating systems, HR Management knowledge and expertise
Eugene,Sangeeta,8771032647,35,10,eugenesangeeta@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,Data mining
Santosh,Aarav,8691516702,31,8,santoshaarav@gmail.com,Cloud architect,Operating systems,Python, HR Management knowledge and expertise
Nisha,Ramesh,6965179550,24,1,nisharamesh@gmail.com,AI/ML architect,Machine Learning Expertise,Python,pipeline planning
Bhavna,Arjun,8104956876,31,8,bhavnaarjun@gmail.com,Data scientist,Python,Controls and frameworks ,Algorithms and frameworks
Neetu,Rohit,9256747909,28,0,neeturohit@gmail.com,Frontend developer,HTML/CSS,Data Analysis and Visualization,CI/CD pipelines
Pradeep,Ankita,8319223886,23,0,pradeepankita@gmail.com,Cyber security,Scripting,Node.js,Data mining
Sweta,Renu,8579933545,35,10,swetarenu@gmail.com,DevOps engineer,Linux ,Node.js,C/JavaScript/Python
Shruti,Suman,9276789950,25,2,shrutisuman@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,Java/python
Parul,Sweta,8626700290,25,2,parulsweta@gmail.com,DevOps engineer,Linux ,ReactJS,Java/python
Divya,Juhi,6838099935,23,0,divyajuhi@gmail.com,IoT solutions architect,API automation and testing ,Networking and data centres,Cloud
Dinesh,Doris,6496645212,27,0,dineshdoris@gmail.com,HR,Communication skills,Python, HR Management knowledge and expertise
Marie,Kayla,6233915577,30,7,mariekayla@gmail.com,Security Analyst, Network security control,Big Data, HR Management knowledge and expertise
Pramod,Vandana,6560094312,32,9,pramodvandana@gmail.com,Machine learning engineer,Mathematics and Statistics,Data Analysis and Visualization,AI/ML
Kirti,Gaurav,8495075553,35,0,kirtigaurav@gmail.com,Cyber security,Scripting,ReactJS,Java/python
Ishita,Rakesh,8383427962,29,6,ishitarakesh@gmail.com,Data scientist,Python,Networking and data centres,Algorithms and frameworks
Dinesh,Ritu,8147922051,30,7,dineshritu@gmail.com,Security Analyst, Network security control,Operating systems,JavaScript
Rajendra,Anjali,9514225166,23,0,rajendraanjali@gmail.com,IoT solutions architect,API automation and testing ,Big Data,DBMS
Priya,Rajendra,8223253619,35,0,priyarajendra@gmail.com,Data scientist,python,Flask,Intrusion detection
Avinash,Eve,9248257214,23,0,avinasheve@gmail.com,DevOps engineer,Linux , Data Structures,CI/CD pipelines
John,Aarti,9291300204,27,0,johnaarti@gmail.com,IoT solutions architect,API automation and testing ,Flask, HR Management knowledge and expertise
Sunita,Riya,6421851539,35,0,sunitariya@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures, HR Management knowledge and expertise
Neetu,Kavita,9610842052,34,10,neetukavita@gmail.com,DevOps engineer,Linux ,Flask,DBMS
Rajat,Ramesh,6398003123,27,0,rajatramesh@gmail.com,IoT solutions architect,API automation and testing ,DBMS,DBMS
Bob,Vinay,8633186453,23,0,bobvinay@gmail.com,IoT solutions architect,API automation and testing , Data Structures,Data mining
Pramod,Sumit,8809918764,26,3,pramodsumit@gmail.com,Cloud architect,Operating systems, Data Structures,Cloud
Bradley,Savita,8453848107,28,5,bradleysavita@gmail.com,Security Analyst, Network security control, Administrative expertise, HR Management knowledge and expertise
Bhavna,Abhinav,8554973528,34,0,bhavnaabhinav@gmail.com,Blockchain engineer,Cryptography, Administrative expertise,AI/ML
Savita,Shubham,9213387282,30,0,savitashubham@gmail.com,Machine learning engineer,Mathematics and Statistics,Networking and data centres,AI/ML
Neetu,Doris,9463885834,24,1,neetudoris@gmail.com,Cloud architect,Operating systems,Flask,C/JavaScript/Python
Satish,Ajay,8879630702,25,2,satishajay@gmail.com,IoT solutions architect,API automation and testing ,DBMS,JavaScript
Reena,Ria,6392009113,26,0,reenaria@gmail.com,Data scientist,python,Python, HR Management knowledge and expertise
Kavita,Sheetal,9406991627,28,0,kavitasheetal@gmail.com,DevOps engineer,Linux ,Python, HR Management knowledge and expertise
Roshni,Priyanka,9148847344,26,0,roshnipriyanka@gmail.com,IoT solutions architect,API automation and testing ,ReactJS,Cloud
Aanya,Reena,6595378969,28,5,aanyareena@gmail.com,AI/ML architect,Machine Learning Expertise,Python,Cloud
Parul,Vinay,8852425564,26,3,parulvinay@gmail.com,Cyber security,Scripting,ReactJS,pipeline planning
Santosh,Priyanka,8849992233,23,0,santoshpriyanka@gmail.com,Cloud architect,Operating systems, Data Structures,Intrusion detection
Kajal,Ajay,6540177665,33,10,kajalajay@gmail.com,Frontend developer,HTML/CSS,Node.js,C/JavaScript/Python
Vinay,Vijay,9396777220,34,10,vinayvijay@gmail.com,Cloud architect,Operating systems, Administrative expertise,JavaScript
Akshara,Santosh,8866461165,23,0,aksharasantosh@gmail.com,Blockchain engineer,Cryptography,Python,JavaScript
Manish,Sonam,9648378779,32,9,manishsonam@gmail.com,AI/ML architect,Machine Learning Expertise,Node.js,Java/python
Rajat,Pranav,9676870039,23,0,rajatpranav@gmail.com,Machine learning engineer,Mathematics and Statistics,Big Data,C/JavaScript/Python
Kirti,Shilpa,9351112486,29,6,kirtishilpa@gmail.com,Data scientist,Python,Operating systems,Intrusion detection
John,Pradeep,6710060164,27,4,johnpradeep@gmail.com,DevOps engineer,Linux ,DBMS,JavaScript
Shilpa,Alka,9832636319,33,10,shilpaalka@gmail.com,Blockchain engineer,Cryptography,Node.js, HR Management knowledge and expertise
Bobby,Philip,6454581962,35,0,bobbyphilip@gmail.com,HR,Communication skills,Big Data,Intrusion detection
Aarti,Kavita,8790806685,32,0,aartikavita@gmail.com,AI/ML architect,Machine Learning Expertise,Data Analysis and Visualization,Cloud
Ramesh,Aarti,9961495423,27,0,rameshaarti@gmail.com,Security Analyst, Network security control,DBMS,Intrusion detection
Priyanka,Shivangi,8774326763,25,2,priyankashivangi@gmail.com,Cyber security,Scripting,Flask,Intrusion detection
Reena,Eugene,8764151766,31,8,reenaeugene@gmail.com,Blockchain engineer,Cryptography,Controls and frameworks ,Algorithms and frameworks
Priyanka,Rajesh,9530527935,31,0,priyankarajesh@gmail.com,IoT solutions architect,API automation and testing ,Networking and data centres,pipeline planning
Nisha,Savita,6541456705,23,0,nishasavita@gmail.com,Cyber security,Scripting,ReactJS,Data mining
Kajal,Deepak,9730967933,29,0,kajaldeepak@gmail.com,Cloud architect,Operating systems,Big Data,Intrusion detection
Riyaan,Riya,9521390875,34,0,riyaanriya@gmail.com,Blockchain engineer,Cryptography,DBMS,pipeline planning
Neeraj,John,6500770121,34,0,neerajjohn@gmail.com,Cloud architect,Operating systems,ReactJS,Data mining
Anika,Tanisha,6538923809,34,0,anikatanisha@gmail.com,Blockchain engineer,Cryptography, Data Structures, HR Management knowledge and expertise
Parul,Nisha,6847984822,24,0,parulnisha@gmail.com,Cloud architect,Operating systems,Node.js,Data mining
Priyanka,Arjun,6647540078,23,0,priyankaarjun@gmail.com,Blockchain engineer,Cryptography,Networking and data centres, HR Management knowledge and expertise
Neeraj,Shivangi,6912918193,25,0,neerajshivangi@gmail.com,IoT solutions architect,API automation and testing ,Node.js,Data mining
Eugene,Suresh,6374899791,34,10,eugenesuresh@gmail.com,Cyber security,Scripting, Administrative expertise,CI/CD pipelines
Suman,Pramod,8312117695,32,0,sumanpramod@gmail.com,Data scientist,python,Python,Cloud
Dinesh,Vinod,9429844669,28,5,dineshvinod@gmail.com,Data scientist,Python,Big Data,DBMS
Sanjana,Vidya,6728136977,26,3,sanjanavidya@gmail.com,Data scientist,python,Controls and frameworks ,CI/CD pipelines
Juhi,Sunil,8754015813,30,0,juhisunil@gmail.com,Cloud architect,Operating systems, Data Structures,Cloud
Vikas,Pooja,9375784899,35,10,vikaspooja@gmail.com,AI/ML architect,Machine Learning Expertise,Python,DBMS
Harsh,Eugene,8511061962,33,0,harsheugene@gmail.com,Data scientist,Python,Data Analysis and Visualization,DBMS
Sanjana,Raghav,8143079369,23,0,sanjanaraghav@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,Intrusion detection
Sweta,Shilpa,6283806905,29,6,swetashilpa@gmail.com,Blockchain engineer,Cryptography,Data Analysis and Visualization,CI/CD pipelines
Alice,Juhi,9722509913,33,0,alicejuhi@gmail.com,Cyber security,Scripting,Big Data,DBMS
Sunita,Santosh,8408503209,25,2,sunitasantosh@gmail.com,AI/ML architect,Machine Learning Expertise,Controls and frameworks ,Algorithms and frameworks
Ramesh,Vikas,8633970470,24,1,rameshvikas@gmail.com,DevOps engineer,Linux ,DBMS,Algorithms and frameworks
Ankita,Juhi,9276868329,25,2,ankitajuhi@gmail.com,Data scientist,python,DBMS,Java/python
Ravi,Vandana,8947352014,32,0,ravivandana@gmail.com,DevOps engineer,Linux ,ReactJS,Java/python
Bradley,Sweta,8473921828,28,0,bradleysweta@gmail.com,Cyber security,Scripting,DBMS,Algorithms and frameworks
Kamal,Amit,9512066320,30,7,kamalamit@gmail.com,Blockchain engineer,Cryptography,Data Analysis and Visualization,pipeline planning
Kajal,Gaurav,6723596183,33,0,kajalgaurav@gmail.com,Security Analyst, Network security control,Big Data, HR Management knowledge and expertise
Rohit,Riyaan,8714552098,34,10,rohitriyaan@gmail.com,DevOps engineer,Linux ,Node.js,Algorithms and frameworks
Dinesh,Russell,8841939166,25,0,dineshrussell@gmail.com,Cloud architect,Operating systems,Flask,CI/CD pipelines
Abhinav,Suman,6887817254,29,0,abhinavsuman@gmail.com,IoT solutions architect,API automation and testing ,Python,Data mining
Ralph,Vidya,9549812269,28,0,ralphvidya@gmail.com,Blockchain engineer,Cryptography,Node.js,Intrusion detection
Neeraj,Lori,8567121307,32,0,neerajlori@gmail.com,Data scientist,python,Networking and data centres,Intrusion detection
Vidya,Priyanka,8167850560,24,1,vidyapriyanka@gmail.com,Machine learning engineer,Mathematics and Statistics,Node.js,JavaScript
Manish,Ashish,8543879759,35,0,manishashish@gmail.com,HR,Communication skills,Controls and frameworks ,JavaScript
Priya,Lori,6197414537,27,0,priyalori@gmail.com,AI/ML architect,Machine Learning Expertise,Controls and frameworks ,pipeline planning
Rahul,Bobby,6323210622,35,0,rahulbobby@gmail.com,Machine learning engineer,Mathematics and Statistics,Python,Data mining
Meera,Kayla,6130241371,27,4,meerakayla@gmail.com,Security Analyst, Network security control,Flask, HR Management knowledge and expertise
Kamal,Priya,8780745207,29,0,kamalpriya@gmail.com,Frontend developer,HTML/CSS,Operating systems,Cloud
Rakesh,Shubham,9395403356,27,0,rakeshshubham@gmail.com,Security Analyst, Network security control, Data Structures,Java/python
Abhinav,Mohan,6907923433,31,8,abhinavmohan@gmail.com,Blockchain engineer,Cryptography,Flask,Java/python
Sunil,Anjana,6552270188,29,6,sunilanjana@gmail.com,HR,Communication skills,DBMS,CI/CD pipelines
Rahul,Kirti,8195041494,30,0,rahulkirti@gmail.com,Security Analyst, Network security control,Python,Algorithms and frameworks
Tanisha,Anjana,8882634396,30,7,tanishaanjana@gmail.com,Blockchain engineer,Cryptography,Python,JavaScript
Neetu,Shruti,9871189562,31,8,neetushruti@gmail.com,HR,Communication skills, Data Structures, HR Management knowledge and expertise
Tanvi,Doris,6500344765,31,8,tanvidoris@gmail.com,Frontend developer,HTML/CSS,Python,pipeline planning
Ishita,Tanisha,6293643875,32,9,ishitatanisha@gmail.com,IoT solutions architect,API automation and testing , Data Structures,Intrusion detection
Priya,Vivek,6846250241,34,0,priyavivek@gmail.com,Frontend developer,HTML/CSS,Python,C/JavaScript/Python
Rajat,Ishita,8653653952,31,8,rajatishita@gmail.com,Data scientist,python,Data Analysis and Visualization,Intrusion detection
Santosh,Aarti,9936374384,30,7,santoshaarti@gmail.com,DevOps engineer,Linux ,Data Analysis and Visualization,pipeline planning
Vinod,Bobby,8148976083,31,0,vinodbobby@gmail.com,Blockchain engineer,Cryptography,Operating systems, HR Management knowledge and expertise
John,Vijay,8980360574,32,0,johnvijay@gmail.com,AI/ML architect,Machine Learning Expertise, Administrative expertise,Intrusion detection
Kayla,Pradeep,8826727710,26,0,kaylapradeep@gmail.com,Blockchain engineer,Cryptography,Big Data,CI/CD pipelines
Sanjay,Rinku,8738120367,23,0,sanjayrinku@gmail.com,Machine learning engineer,Mathematics and Statistics,Flask,Algorithms and frameworks
Kamal,Neeraj,9561948691,23,0,kamalneeraj@gmail.com,Cloud architect,Operating systems,Python,CI/CD pipelines
Sangeeta,Meera,9184007823,28,0,sangeetameera@gmail.com,IoT solutions architect,API automation and testing ,ReactJS,Algorithms and frameworks
Santosh,Bhavna,6863190688,35,0,santoshbhavna@gmail.com,Data scientist,python,Operating systems,AI/ML
Avinash,Rahul,9944096377,24,1,avinashrahul@gmail.com,Blockchain engineer,Cryptography, Data Structures,Intrusion detection
Priyanka,Vidya,9510203675,29,6,priyankavidya@gmail.com,Cyber security,Scripting,Python,C/JavaScript/Python
Doris,Subhash,9674955288,25,2,dorissubhash@gmail.com,Machine learning engineer,Mathematics and Statistics,DBMS,pipeline planning
Meera,Eugene,8883705202,27,0,meeraeugene@gmail.com,HR,Communication skills,Python,Data mining
Mohan,Neetu,8871485884,31,0,mohanneetu@gmail.com,AI/ML architect,Machine Learning Expertise,Operating systems,Intrusion detection
Alice,Sweta,9269428283,33,0,alicesweta@gmail.com,Cyber security,Scripting,Operating systems,DBMS
Deepak,Sandeep,6169395851,27,0,deepaksandeep@gmail.com,DevOps engineer,Linux ,Node.js,Data mining
Vidya,Rahul,9750083031,35,10,vidyarahul@gmail.com,Data scientist,Python,DBMS,DBMS
Sonam,Aarav,6377513675,25,0,sonamaarav@gmail.com,Data scientist,python,Big Data,CI/CD pipelines
Ravi,Raju,6776795819,28,5,raviraju@gmail.com,Cyber security,Scripting,Operating systems,DBMS
Kavita,Rinku,9444710280,30,0,kavitarinku@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,C/JavaScript/Python
Alice,Suman,9891403264,31,8,alicesuman@gmail.com,Blockchain engineer,Cryptography,Operating systems,C/JavaScript/Python
Suresh,Kajal,8124826030,33,0,sureshkajal@gmail.com,Blockchain engineer,Cryptography,DBMS,CI/CD pipelines
Shubham,Anjana,9760995686,32,9,shubhamanjana@gmail.com,Cyber security,Scripting,Data Analysis and Visualization, HR Management knowledge and expertise
Ankita,Rajesh,6309414865,33,10,ankitarajesh@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,DBMS
Shubham,Kamal,6255791748,34,10,shubhamkamal@gmail.com,DevOps engineer,Linux ,Python,Java/python
Vikas,Mahesh,8423860964,29,0,vikasmahesh@gmail.com,AI/ML architect,Machine Learning Expertise,DBMS,C/JavaScript/Python
Aarti,Kamal,8129216546,27,4,aartikamal@gmail.com,Cyber security,Scripting, Administrative expertise,C/JavaScript/Python
Santosh,Vinay,9106422401,27,4,santoshvinay@gmail.com,IoT solutions architect,API automation and testing ,Python,pipeline planning
Naresh,Sweta,6653804014,23,0,nareshsweta@gmail.com,Cyber security,Scripting,Networking and data centres,Cloud
Bobby,Arjun,9323746016,24,0,bobbyarjun@gmail.com,Cyber security,Scripting,Controls and frameworks ,Intrusion detection
Doris,Rajesh,9719290535,35,10,dorisrajesh@gmail.com,Machine learning engineer,Mathematics and Statistics,Big Data,Algorithms and frameworks
Ralph,Bob,9792221807,24,1,ralphbob@gmail.com,DevOps engineer,Linux ,Big Data,DBMS
Ralph,Savita,6240944685,25,2,ralphsavita@gmail.com,Data scientist,Python,Networking and data centres,pipeline planning
Vinod,Ravi,8613171357,27,4,vinodravi@gmail.com,Frontend developer,HTML/CSS, Data Structures,Intrusion detection
Renu,Nisha,9461609313,24,1,renunisha@gmail.com,Blockchain engineer,Cryptography,Node.js,C/JavaScript/Python
Pradeep,Mahesh,9133861080,34,10,pradeepmahesh@gmail.com,HR,Communication skills,ReactJS,Intrusion detection
Ramesh,Rajesh,8438962997,27,4,rameshrajesh@gmail.com,HR,Communication skills,Operating systems,Data mining
Aanya,Sanjay,9554537592,28,5,aanyasanjay@gmail.com,HR,Communication skills,Operating systems,pipeline planning
Roshni,Shilpa,9185813867,28,5,roshnishilpa@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,pipeline planning
Priyanka,Aarav,8615872470,30,7,priyankaaarav@gmail.com,AI/ML architect,Machine Learning Expertise,Node.js,Cloud
Sonam,Nisha,6921999760,28,5,sonamnisha@gmail.com,Data scientist,Python,Networking and data centres,JavaScript
Alexis,Amit,9479844549,26,3,alexisamit@gmail.com,IoT solutions architect,API automation and testing ,Big Data,JavaScript
Aarav,Rakesh,6125485125,25,2,aaravrakesh@gmail.com,Machine learning engineer,Mathematics and Statistics,Flask,C/JavaScript/Python
Eve,Rajat,8414266091,31,0,everajat@gmail.com,Cloud architect,Operating systems,Networking and data centres,CI/CD pipelines
Payal,Neetu,8858737121,28,0,payalneetu@gmail.com,AI/ML architect,Machine Learning Expertise,Operating systems,Algorithms and frameworks
Vinay,Reena,9180251788,29,6,vinayreena@gmail.com,IoT solutions architect,API automation and testing ,Controls and frameworks ,Intrusion detection
Marie,Savita,9326569633,30,7,mariesavita@gmail.com,Security Analyst, Network security control,ReactJS,AI/ML
Doris,Kayla,8459102824,30,7,doriskayla@gmail.com,AI/ML architect,Machine Learning Expertise,Big Data,DBMS
Ramesh,Ankita,6959983865,28,0,rameshankita@gmail.com,Frontend developer,HTML/CSS,Controls and frameworks ,Java/python
Tanvi,Manish,9122881434,25,0,tanvimanish@gmail.com,Security Analyst, Network security control,Big Data,JavaScript
Suman,Aarti,9454057420,23,0,sumanaarti@gmail.com,Blockchain engineer,Cryptography,Python,pipeline planning
Neeraj,Renu,8987891593,35,0,neerajrenu@gmail.com,Blockchain engineer,Cryptography, Data Structures,Algorithms and frameworks
Vinay,Deepak,9882019814,24,1,vinaydeepak@gmail.com,Cloud architect,Operating systems,Python,C/JavaScript/Python
Aanya,Vinay,8792234399,30,0,aanyavinay@gmail.com,HR,Communication skills,Python,Java/python
Bhavna,Neeraj,9621719715,28,5,bhavnaneeraj@gmail.com,IoT solutions architect,API automation and testing ,ReactJS,pipeline planning
Akshara,Doris,6141083225,35,0,aksharadoris@gmail.com,Security Analyst, Network security control,Operating systems,Cloud
Sanjay,Bob,9524753285,34,0,sanjaybob@gmail.com,Frontend developer,HTML/CSS, Data Structures, HR Management knowledge and expertise
Vinay,Lori,6721259029,24,1,vinaylori@gmail.com,Blockchain engineer,Cryptography,Operating systems,Algorithms and frameworks
Pranav,Sunil,9851858822,34,0,pranavsunil@gmail.com,Security Analyst, Network security control,Controls and frameworks ,Algorithms and frameworks
Ramesh,Shivangi,9550081471,24,0,rameshshivangi@gmail.com,Security Analyst, Network security control,Big Data,pipeline planning
Manoj,Kamal,8748532094,31,8,manojkamal@gmail.com,Frontend developer,HTML/CSS,ReactJS, HR Management knowledge and expertise
Raghav,Sunil,6331378461,31,0,raghavsunil@gmail.com,Security Analyst, Network security control, Administrative expertise,Intrusion detection
Suman,Ralph,8815607359,31,8,sumanralph@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,JavaScript
Rohit,Ravi,8739651902,32,0,rohitravi@gmail.com,Data scientist,Python,Node.js,JavaScript
Savita,Aarav,6794341209,27,4,savitaaarav@gmail.com,HR,Communication skills,Big Data,CI/CD pipelines
Shruti,Juhi,6931791746,35,0,shrutijuhi@gmail.com,Security Analyst, Network security control,ReactJS,C/JavaScript/Python
Shilpa,Russell,8820052220,32,0,shilparussell@gmail.com,IoT solutions architect,API automation and testing ,Flask,Intrusion detection
Shruti,Riya,6943895660,29,6,shrutiriya@gmail.com,Cyber security,Scripting,Python,Java/python
Kavita,Shubham,6858116820,27,4,kavitashubham@gmail.com,IoT solutions architect,API automation and testing ,Networking and data centres,JavaScript
Ravi,Rahul,6892796391,25,2,ravirahul@gmail.com,Data scientist,Python,Flask,CI/CD pipelines
Akshara,Nisha,8776366763,24,0,aksharanisha@gmail.com,Cloud architect,Operating systems,Operating systems,pipeline planning
Ria,Shivangi,8941001143,23,0,riashivangi@gmail.com,Frontend developer,HTML/CSS, Data Structures,Java/python
Doris,Raghav,6983297722,35,10,dorisraghav@gmail.com,Frontend developer,HTML/CSS,Networking and data centres,Cloud
Aanya,Arjun,9291790132,34,10,aanyaarjun@gmail.com,DevOps engineer,Linux ,Python, HR Management knowledge and expertise
Lori,Juhi,9337566510,24,1,lorijuhi@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures, HR Management knowledge and expertise
Reena,Rohit,8922216763,29,0,reenarohit@gmail.com,AI/ML architect,Machine Learning Expertise,Data Analysis and Visualization,CI/CD pipelines
Kamal,Tanisha,9996708643,24,1,kamaltanisha@gmail.com,Frontend developer,HTML/CSS,Big Data,CI/CD pipelines
Sangeeta,Russell,9804077914,29,0,sangeetarussell@gmail.com,Security Analyst, Network security control,DBMS,DBMS
Sheetal,Rakesh,8679451179,32,0,sheetalrakesh@gmail.com,Frontend developer,HTML/CSS,Networking and data centres,C/JavaScript/Python
Kayla,Ramesh,8690852089,33,10,kaylaramesh@gmail.com,Frontend developer,HTML/CSS,Networking and data centres,Cloud
Ananya,Kamal,9683155656,30,0,ananyakamal@gmail.com,Security Analyst, Network security control, Administrative expertise,Cloud
Bhavna,Kirti,9725674064,27,4,bhavnakirti@gmail.com,DevOps engineer,Linux ,Controls and frameworks ,pipeline planning
Eugene,Rahul,9981123071,31,0,eugenerahul@gmail.com,Cyber security,Scripting,Controls and frameworks ,Cloud
Riya,Alka,8966953649,26,3,riyaalka@gmail.com,Data scientist,python,DBMS,C/JavaScript/Python
Santosh,Philip,6131922042,26,0,santoshphilip@gmail.com,Data scientist,python,Flask,AI/ML
Kajal,Sandeep,9442244264,24,1,kajalsandeep@gmail.com,Blockchain engineer,Cryptography,Networking and data centres,C/JavaScript/Python
Tanvi,Harsh,8810005515,25,0,tanviharsh@gmail.com,DevOps engineer,Linux ,Data Analysis and Visualization,CI/CD pipelines
Eugene,Naresh,9106951277,33,10,eugenenaresh@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,DBMS
Eve,Bob,9582111194,31,0,evebob@gmail.com,DevOps engineer,Linux ,DBMS,pipeline planning
Rohan,Suman,9116410883,24,0,rohansuman@gmail.com,HR,Communication skills, Administrative expertise,Java/python
Vinod,Rinku,9551787311,29,0,vinodrinku@gmail.com,Data scientist,python,Networking and data centres,Java/python
Pradeep,Bhavna,8178460665,32,9,pradeepbhavna@gmail.com,Cloud architect,Operating systems,Python,DBMS
Sumit,Priyanka,8880740417,26,3,sumitpriyanka@gmail.com,Data scientist,Python, Administrative expertise,Cloud
Rajat,Manish,6268062396,29,0,rajatmanish@gmail.com,Data scientist,python,Controls and frameworks ,CI/CD pipelines
Vikas,Shilpa,8562563384,23,0,vikasshilpa@gmail.com,Machine learning engineer,Mathematics and Statistics,Big Data,Intrusion detection
Bhavna,Vinod,8702019054,30,7,bhavnavinod@gmail.com,Data scientist,Python,Node.js,pipeline planning
Marie,Sanjay,8362203111,27,0,mariesanjay@gmail.com,Security Analyst, Network security control,Node.js,C/JavaScript/Python
Arjun,Lori,8905265564,27,0,arjunlori@gmail.com,Machine learning engineer,Mathematics and Statistics,Data Analysis and Visualization,Cloud
Kayla,Amit,9807775949,25,0,kaylaamit@gmail.com,DevOps engineer,Linux ,Big Data,Data mining
Rajat,Ralph,8721414745,35,10,rajatralph@gmail.com,Machine learning engineer,Mathematics and Statistics,DBMS,Cloud
Ria,Vinay,9712991883,33,10,riavinay@gmail.com,AI/ML architect,Machine Learning Expertise, Administrative expertise,Java/python
Lori,Pramod,9112245250,24,0,loripramod@gmail.com,HR,Communication skills,Flask,Cloud
Mahesh,Mohan,8363701058,29,0,maheshmohan@gmail.com,IoT solutions architect,API automation and testing ,Node.js,Intrusion detection
Kavita,Ananya,6553151230,24,1,kavitaananya@gmail.com,Data scientist,Python, Administrative expertise, HR Management knowledge and expertise
Alexis,Sonam,8930609191,24,1,alexissonam@gmail.com,Security Analyst, Network security control, Administrative expertise, HR Management knowledge and expertise
Naresh,Raghav,8294078374,28,0,nareshraghav@gmail.com,Security Analyst, Network security control,ReactJS,Java/python
Rajesh,Kayla,6489719238,35,0,rajeshkayla@gmail.com,IoT solutions architect,API automation and testing , Administrative expertise,DBMS
Ajay,Satish,8243314169,34,0,ajaysatish@gmail.com,Frontend developer,HTML/CSS,Big Data,Algorithms and frameworks
Eve,Ananya,6205654267,24,1,eveananya@gmail.com,Blockchain engineer,Cryptography,Networking and data centres,C/JavaScript/Python
Ashish,Neetu,9159514770,30,7,ashishneetu@gmail.com,Data scientist,Python,Python, HR Management knowledge and expertise
John,Bob,6215243512,30,0,johnbob@gmail.com,Cloud architect,Operating systems,Flask,Intrusion detection
Alka,Aarav,8213820529,35,0,alkaaarav@gmail.com,Security Analyst, Network security control,Data Analysis and Visualization,Cloud
Priyanka,Sunil,8194654409,35,10,priyankasunil@gmail.com,Frontend developer,HTML/CSS,Operating systems, HR Management knowledge and expertise
Sumit,Pranav,9578146462,29,0,sumitpranav@gmail.com,HR,Communication skills,Operating systems,JavaScript
Prakash,Russell,8936506948,24,1,prakashrussell@gmail.com,Data scientist,Python, Administrative expertise,C/JavaScript/Python
Ashish,Vikas,6881117766,34,0,ashishvikas@gmail.com,AI/ML architect,Machine Learning Expertise,Data Analysis and Visualization, HR Management knowledge and expertise
Rajesh,Kajal,8654755785,25,2,rajeshkajal@gmail.com,Data scientist,python,DBMS,C/JavaScript/Python
Sangeeta,Savita,6764498255,32,0,sangeetasavita@gmail.com,AI/ML architect,Machine Learning Expertise,DBMS,Algorithms and frameworks
Sunil,Sunil,8541068451,31,0,sunilsunil@gmail.com,Blockchain engineer,Cryptography,Flask,Algorithms and frameworks
Ashish,Riyaan,9297184145,35,10,ashishriyaan@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures,Intrusion detection
Riya,Sonam,9377639901,26,0,riyasonam@gmail.com,Cloud architect,Operating systems, Administrative expertise, HR Management knowledge and expertise
Shubham,Ashish,8179972874,32,9,shubhamashish@gmail.com,Machine learning engineer,Mathematics and Statistics,Node.js,CI/CD pipelines
